order_id,timestamp,location_x,location_y,prep_time_minutes,priority,sla_minutes
O001,2026-05-03 09:00:00,2,3,12,high,45
O002,2026-05-03 09:04:00,5,1,8,normal,50
O003,2026-05-03 09:08:00,1,6,15,high,40
O004,2026-05-03 09:12:00,7,4,10,normal,55
O005,2026-05-03 09:18:00,3,8,6,low,60
O006,2026-05-03 09:22:00,9,2,14,high,42
O007,2026-05-03 09:25:00,4,5,9,normal,52
O008,2026-05-03 09:28:00,6,7,11,low,58
O009,2026-05-03 09:32:00,1,1,7,high,38
O010,2026-05-03 09:35:00,8,3,13,normal,54
O011,2026-05-03 09:38:00,2,9,10,low,62
O012,2026-05-03 09:42:00,5,4,8,high,44
O013,2026-05-03 09:45:00,7,8,12,normal,50
O014,2026-05-03 09:48:00,3,2,6,low,60
O015,2026-05-03 09:52:00,9,6,15,high,40
O016,2026-05-03 09:55:00,1,4,9,normal,53
O017,2026-05-03 09:58:00,6,1,11,low,59
O018,2026-05-03 10:02:00,4,9,7,high,43
O019,2026-05-03 10:05:00,8,5,14,normal,51
O020,2026-05-03 10:08:00,2,7,10,low,61
O021,2026-05-03 10:12:00,5,3,8,high,45
O022,2026-05-03 10:15:00,9,9,13,normal,55
O023,2026-05-03 10:18:00,3,6,6,low,58
O024,2026-05-03 10:22:00,7,2,12,high,41
O025,2026-05-03 10:25:00,1,8,9,normal,52
O026,2026-05-03 10:28:00,6,4,11,low,60
O027,2026-05-03 10:32:00,4,1,7,high,44
O028,2026-05-03 10:35:00,8,7,15,normal,50
O029,2026-05-03 10:38:00,2,5,10,low,62
O030,2026-05-03 10:42:00,9,3,8,high,42
O031,2026-05-03 10:45:00,5,9,14,normal,54
O032,2026-05-03 10:48:00,3,4,6,low,59
O033,2026-05-03 10:52:00,7,6,12,high,43
O034,2026-05-03 10:55:00,1,2,9,normal,51
O035,2026-05-03 10:58:00,6,8,11,low,61
O036,2026-05-03 11:02:00,4,3,7,high,45
O037,2026-05-03 11:05:00,8,1,13,normal,53
O038,2026-05-03 11:08:00,2,6,10,low,58
O039,2026-05-03 11:12:00,9,4,8,high,44
O040,2026-05-03 11:15:00,5,7,15,normal,50
O041,2026-05-03 11:18:00,3,1,6,low,60
O042,2026-05-03 11:22:00,7,9,12,high,41
O043,2026-05-03 11:25:00,1,5,9,normal,52
O044,2026-05-03 11:28:00,6,3,11,low,62
O045,2026-05-03 11:32:00,4,8,7,high,43
O046,2026-05-03 11:35:00,8,2,14,normal,54
O047,2026-05-03 11:38:00,2,4,10,low,59
O048,2026-05-03 11:42:00,9,7,8,high,42
O049,2026-05-03 11:45:00,5,5,13,normal,51
O050,2026-05-03 11:48:00,3,9,6,low,61
O051,2026-05-03 11:52:00,7,1,12,high,45
O052,2026-05-03 11:55:00,1,3,9,normal,53
O053,2026-05-03 11:58:00,6,6,11,low,58
O054,2026-05-03 12:02:00,4,4,7,high,44
O055,2026-05-03 12:05:00,8,9,15,normal,50
O056,2026-05-03 12:08:00,2,2,10,low,60
O057,2026-05-03 12:12:00,9,5,8,high,42
O058,2026-05-03 12:15:00,5,8,14,normal,52
O059,2026-05-03 12:18:00,3,3,6,low,62
O060,2026-05-03 12:22:00,7,7,12,high,41
O061,2026-05-03 12:25:00,1,9,9,normal,54
O062,2026-05-03 12:28:00,6,2,11,low,59
O063,2026-05-03 12:32:00,4,6,7,high,43
O064,2026-05-03 12:35:00,8,4,13,normal,51
O065,2026-05-03 12:38:00,2,8,10,low,61
O066,2026-05-03 12:42:00,9,1,8,high,45
O067,2026-05-03 12:45:00,5,6,15,normal,53
O068,2026-05-03 12:48:00,3,5,6,low,58
O069,2026-05-03 12:52:00,7,3,12,high,44
O070,2026-05-03 12:55:00,1,7,9,normal,50
O071,2026-05-03 12:58:00,6,9,11,low,60
O072,2026-05-03 13:02:00,4,2,7,high,42
O073,2026-05-03 13:05:00,8,6,14,normal,52
O074,2026-05-03 13:08:00,2,1,10,low,62
O075,2026-05-03 13:12:00,9,8,8,high,41
O076,2026-05-03 13:15:00,5,4,13,normal,54
O077,2026-05-03 13:18:00,3,7,6,low,59
O078,2026-05-03 13:22:00,7,5,12,high,43
O079,2026-05-03 13:25:00,1,1,9,normal,51
O080,2026-05-03 13:28:00,6,5,11,low,61
O081,2026-05-03 13:32:00,4,7,7,high,45
